Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
beautycode.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
abedi-watch.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.nobar.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sms.webazin.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.rokna.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
asenagallery.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
7b906bdd-082f-4728-a952-86f70872230d.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
aghayebargh.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
tamclean.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
arzantehran.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ninisaloooon.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
khayerinemadresesaz.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
td.ibrshm.pro,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
imdolattihao.lol,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
teriti-store.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
anaparvaz24.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.ninitest.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
payment.bonyadfarhangi.aqr.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
behdashtilinda.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
